route_id,day_label,day_title,day_note,stop_id,order,travel
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,miyanoura-port,1,🚶徒歩1分 🚲自転車1分未満 📍60m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima-sento,2,🚶徒歩4分 🚲自転車2分 📍270m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,iwata,3,🚶徒歩15分 🚲自転車5分 📍900m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima0003,4,🚶徒歩26分 🚲自転車8分 📍1.9km
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,dam,5,🚶徒歩15分 🚲自転車5分 📍1.1km
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,ishii,6,🚶徒歩30秒 🚲自転車10秒 📍20m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima-muramichi,7,🚶徒歩4分 🚲自転車1分 📍300m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,yama-jinja,8,🚶徒歩2分 🚲自転車1分未満 📍200m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima0008,9,🚶徒歩15分 🚲自転車5分 📍900m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,benzaiten,10,🚶徒歩4分 🚲自転車不可 📍300m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,new-naoshima-1,11,🚶徒歩1分未満 🚲自転車10秒 📍50m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima0011,12,🚶徒歩7分 🚲自転車2分 📍450m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima0012,13,🚶徒歩7分 🚲自転車2分 📍500m
naoshima,直島,直島 聖地巡礼,宮浦港から徒歩・レンタサイクルで巡る、公式サイト掲載順のモデルコース。,naoshima0013,14,🚶徒歩40分 🚲自転車不可 📍約2.5km
