spot_id,order,name,description,images
ogi-lighthouse,1,灯台下,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-11.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-7.jpg
ogi-lighthouse,2,アルカテイルＯＰカット,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-10.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-20.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-17.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-8.jpg
ogi-lighthouse,3,ＲＢのメインビジュアル,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-18.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-2.jpg
ogi-lighthouse,4,ＷＥＢマニュアルの背景,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-3.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-4.jpg
ogi-lighthouse,5,紬のキービジュアル,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-19-scaled.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/05/todai-19-scaled_r.jpg
ogi-lighthouse,6,紬の誕生日,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-12-1024x576.jpg
ogi-lighthouse,7,灯台の展望エリア,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-16-1024x576.jpg
ogi-lighthouse,8,紬と静久と,,https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-15-1024x576.jpg|https://summer-pockets.main.jp/wp-content/uploads/2024/07/todai-14-1024x576.jpg
ogi-lighthouse,9,灯台と紬,,https://summer-pockets.main.jp/wp-content/uploads/2025/06/op1_6.jpg|https://summer-pockets.main.jp/wp-content/uploads/2025/06/op-3.jpg
ogi-lighthouse,10,紬の灯台,,https://summer-pockets.main.jp/wp-content/uploads/2025/04/032-1.jpg
